SL. NO.,Star,Seat Name,Region Overlap,Holder Buffs,Title Name,Buff,Regional Bonuses,Owned,Owner,Rein,Slots,Wall,Tier
1,5,King's Landing,0,Troop Attack +30%,Landed Knight,Troop Attack +30%,March Size Reinforcing SoPs +5000,NO,0,920k,24,1162k,T1
1,5,King's Landing,0,Forging Speed +200%,Landed Knight,March Speed +25%,March Speed Reinforcing +10%,NO,0,920k,24,1162k,T1
1,5,King's Landing,0,Defender Defense +90%,Bannerman,Dragon: March Size +3000,March Speed +30%,NO,0,920k,24,1162k,T1
1,5,King's Landing,0,Holder March +364k,Bannerman,March Speed +25%,Infantry Attack +30%,NO,0,920k,24,1162k,T1
1,5,King's Landing,0,March Slots +1,Master of War,Ranged Defense +60%,D2W +8%,NO,0,920k,24,1162k,T1
1,5,King's Landing,0,Steel Crafting Efficiency +180%,Master of War,March Speed +25%,Construction Speed +20%,NO,0,920k,24,1162k,T1
1,5,King's Landing,0,March Size +3750,Master of Whispers,Troop Health +30%,Troop Upkeep Efficiency +15%,NO,0,920k,24,1162k,T1
1,5,King's Landing,0,Healing Cost Efficiency +150%,Master of Whispers,March Speed +25%,0,NO,0,920k,24,1162k,T1
1,5,King's Landing,0,March Speed +50%,Hand of the King,Rallied Troop Capacity +15k,0,NO,0,920k,24,1162k,T1
1,5,King's Landing,0,0,Hand of the King,March Speed +25%,0,NO,0,920k,24,1162k,T1
1,5,King's Landing,0,0,Master of Coin,Steel Crafting Efficiency +130%,0,NO,0,920k,24,1162k,T1
1,5,King's Landing,0,0,Master of Coin,Construction Speed +50%,0,NO,0,920k,24,1162k,T1
2,4.5,Casterly Rock,King's Landing,Ranged Attack +56%,Bannerman,Ranged Attack +48%,March Size Reinforcing SoP +5000,NO,0,825k,22,871k,T2
2,4.5,Casterly Rock,King's Landing,Training Speed +120%,Landed Knight,Siege Health +48%,March Speed Reinforcing +10%,NO,0,825k,22,871k,T2
2,4.5,Casterly Rock,King's Landing,Holder March +340k,Cupbearer,Training Speed +95%,March Speed +20%,NO,0,825k,22,871k,T2
2,4.5,Casterly Rock,King's Landing,Maester Speed +70%,Sentinel,Defender Health +41%,Ranged Attack +20%,NO,0,825k,22,871k,T2
2,4.5,Casterly Rock,King's Landing,March Speed vs Creatures +84%,Ward,Rallied Troop Capacity +11880,D2W +6%,NO,0,825k,22,871k,T2
2,4.5,Casterly Rock,King's Landing,Gold Gathering +80%,KL Attack x8,March Size vs KL +175k,Construction Speed +20%,NO,0,825k,22,871k,T2
2,4.5,Casterly Rock,King's Landing,King's Landing Attack,KL Attack x8,D2W vs KL +2%,Stone Production +20%,NO,0,825k,22,871k,T2
2,4.5,Casterly Rock,King's Landing,0,KL Attack x8,Rallied Troop Capacity vs KL +105k,0,NO,0,825k,22,871k,T2
2,4.5,Casterly Rock,King's Landing,0,KL Attack x8,Rally Slots vs KL +2,0,NO,0,825k,22,871k,T2
3,4.5,Winterfell,King's Landing,Infantry Attack +56%,Bannerman,Infantry Attack +48%,March Size Reinforcing SoP +5000,NO,0,825k,22,871k,T2
3,4.5,Winterfell,King's Landing,Training Speed +120%,Septon,Rallied Troop Capacity +11880,March Speed Reinforcing +10%,NO,0,825k,22,871k,T2
3,4.5,Winterfell,King's Landing,Holder March +340k,Cupbearer,D2W +4%,March Speed +15%,NO,0,825k,22,871k,T2
